,0,1
473,especially,60
474,philadelphia,60
475,eastern,60
476,tied,60
477,averaged,60
478,parents,59
479,basket,59
480,pain,59
481,released,59
482,race,59
483,couldnt,59
484,plan,59
485,signed,59
486,old,59
487,call,59
488,looked,58
489,orlando,58
490,tried,58
491,previous,58
492,company,58
493,knee,58
494,firstround,58
495,followed,58
496,sixth,58
497,power,58
498,womens,58
499,along,58
500,running,58
501,christian,58
502,ers,57
503,sacramento,57
504,received,57
505,full,57
506,cousins,57
507,children,57
508,looking,57
509,doesnt,57
510,move,57
511,pass,57
512,australian,57
513,moved,56
514,houston,56
515,money,56
516,worked,56
517,others,56
518,interview,56
519,reach,56
520,nothing,56
521,saw,56
522,carolina,56
523,advantage,56
524,blue,55
525,overall,55
526,orleans,55
527,drew,55
528,mike,55
529,today,55
530,possible,55
531,foul,55
532,rules,55
533,fact,55
534,russell,55
535,taken,55
536,heat,55
537,post,55
538,talk,55
539,office,55
540,investigation,55
541,dame,54
542,chris,54
543,returned,54
544,consecutive,54
545,pacers,54
546,wilson,54
547,control,54
548,boys,54
549,black,54
550,minnesota,54
551,spring,54
552,division,54
553,matter,54
554,fire,54
555,leading,54
556,notre,53
557,reached,53
558,sport,53
559,clear,53
560,cut,53
561,performance,53
562,sometimes,53
563,step,53
564,practice,52
565,pressure,52
566,overtime,52
567,miles,52
568,building,52
569,whole,52
570,brooklyn,52
571,mens,52
572,trip,52
573,leg,52
574,defender,52
575,theres,52
576,decided,52
577,age,52
578,tough,52
579,regularseason,52
580,stop,51
581,maybe,51
582,business,51
583,recently,51
584,award,51
585,opening,51
586,hours,51
587,road,51
588,training,51
589,key,51
590,members,51
591,similar,50
592,reutersreuters,50
593,special,50
594,racist,50
595,however,50
596,athletic,50
597,died,50
598,system,50
599,defeat,50
600,fame,50
601,coaching,50
602,showed,50
603,finally,50
604,association,50
605,instead,50
606,bay,49
607,inside,49
608,weve,49
609,class,49
610,davis,49
611,use,49
612,rookie,49
613,watch,49
614,leave,49
615,position,49
616,wants,49
617,fired,49
618,thunder,49
619,comeback,49
620,fifa,49
621,small,48
622,father,48
623,kyle,48
624,hand,48
625,throw,48
626,pay,48
627,rest,48
628,financial,48
629,turn,48
630,missing,48
631,couple,48
632,makes,48
633,ready,48
634,foster,48
635,ground,48
636,charged,48
637,june,48
638,isnt,48
639,michael,48
640,process,48
641,tell,48
642,someone,47
643,finals,47
644,role,47
645,fan,47
646,comes,47
647,despite,47
648,longer,47
649,curry,47
650,lebron,47
651,watching,47
652,seattle,47
653,sign,47
654,competition,46
655,son,46
656,opportunity,46
657,gregg,46
658,happened,46
659,january,46
660,elite,46
661,judge,46
662,sent,46
663,toward,46
664,kevin,46
665,david,46
666,bit,46
667,patriots,46
668,meeting,46
669,pistons,46
670,streak,45
671,feet,45
672,federal,45
673,pelicans,45
674,senior,45
675,phoenix,45
676,writing,45
677,woods,45
678,wins,45
679,person,45
680,juventus,45
681,break,45
682,hunter,45
683,citys,45
684,chief,45
685,continue,44
686,westbrook,44
687,using,44
688,ways,44
689,committee,44
690,allowed,44
691,beyond,44
692,believe,44
693,actor,44
694,named,44
695,stage,44
696,kids,44
697,met,44
698,potential,44
699,smith,44
700,fight,44
701,space,44
702,knows,44
703,test,43
704,wont,43
705,short,43
706,stay,43
707,fell,43
708,defending,43
709,list,43
710,begin,43
711,include,43
712,roster,42
713,joined,42
714,espn,42
715,jazz,42
716,lose,42
717,winner,42
718,feeling,42
719,culture,42
720,included,42
721,nowitzki,42
722,hope,42
723,moving,42
724,atlanta,42
725,masters,41
726,earned,41
727,dropped,41
728,barcelona,41
729,memphis,41
730,izzo,41
731,involved,41
732,changes,41
733,includes,41
734,california,41
735,challenge,41
736,baseball,41
737,rights,41
738,plans,41
739,pro,41
740,probably,41
741,staff,41
742,hudson,40
743,rule,40
744,proud,40
745,february,40
746,mooney,40
747,strong,40
748,bears,40
749,celtics,40
750,incident,40
751,floor,40
752,wouldnt,40
753,reporters,40
754,friends,40
755,zion,40
756,board,40
757,trade,40
758,single,40
759,happy,40
760,governing,40
761,battle,40
762,pretty,40
763,offer,40
764,shows,40
765,teammate,40
766,region,40
767,quickly,40
768,department,40
769,effort,40
770,charlotte,40
771,paris,40
772,offense,39
773,must,39
774,professional,39
775,portland,39
776,holding,39
777,idea,39
778,opened,39
779,obviously,39
780,gay,39
781,sense,39
782,reason,39
783,goes,39
784,bad,39
785,pearl,39
786,happen,39
787,brought,39
788,irish,39
789,words,39
790,operations,39
791,tom,39
792,result,39
793,organization,39
794,stretch,38
795,blocked,38
796,browns,38
797,rather,38
798,owner,38
799,throughout,38
800,care,38
801,rebound,38
802,theyve,38
803,deficit,38
804,chelsea,38
805,devils,38
806,que,38
807,racism,38
808,else,38
809,total,38
810,steve,38
811,joe,38
812,opinion,38
813,locker,38
814,leaving,38
815,nations,37
816,visit,37
817,scandal,37
818,milan,37
819,means,37
820,leader,37
821,anyone,37
822,antetokounmpo,37
823,culver,37
824,harris,37
825,jones,37
826,miss,37
827,agreed,37
828,lsu,37
829,hornets,37
830,morning,37
831,hold,37
832,area,37
833,local,37
834,iowa,37
835,trailed,37
836,based,37
837,francisco,37
838,facebook,37
839,town,37
840,action,37
841,paid,37
842,attempts,37
843,grizzlies,37
844,touchdowns,37
845,political,37
846,onto,37
847,street,37
848,arrived,37
